,Title,Abstract,Keywords,eia
239,Integrating life cycle assessment into green infrastructure: a systematic review and meta-analysis of urban sustainability strategies,"Green infrastructure (GI) is increasingly vital for cities addressing environmental challenges, climate change, and sustainability through nature-based solutions. However, the inconsistent use of life cycle assessment (LCA) methods—including variations in impact categories, data collection methods, system boundaries, and functional units—hinders effective policymaking and comparison among projects. This study conducted a systematic review and semi-quantitative meta-analysis, following PRISMA guidelines. Out of 334 publications (2014–2024) identified from Web of Science, Science Direct, and Google Scholar, 40 studies met the inclusion criteria. Analysis included critical sustainability indicators: carbon emissions, water footprint, energy use, land-use changes, and air pollution. Traditional LCA was most commonly applied, yet integration with economic (life cycle costing, LCC) and social dimensions (social LCA, S-LCA) remained limited. Meta-analysis indicated a slight positive correlation between standard LCA and water footprint (0.27) but a negative correlation with energy consumption (−0.18), suggesting trade-offs between water management and energy efficiency. Economic assessments (LCC) were moderately linked to land-use changes (0.15), reflecting economic considerations in GI projects. Social assessments (S-LCA) correlated positively with air pollution (0.20), highlighting potential conflicts between social and environmental objectives. Although GI significantly contributes to urban sustainability, the lack of standardized LCA methods limits comparative analyses and practical policy development. Standardizing methodologies, unifying impact assessments, integrating environmental, economic, and social evaluations, and developing financial incentives and advanced technological tools like artificial intelligence are critical steps forward. Future research should prioritize refining LCA accuracy, comprehensive lifecycle cost–benefit integration, and multi-dimensional sustainability analyses to better inform urban resilience policies.","['climate resilience ', ' ecosystem services evaluation ', ' green infrastructure ', ' life cycle assessment ', ' life cycle costing ', ' policy standardization ', ' social life cycle assessment ', ' urban sustainability']",1.0
240,Neuromorphic hardware-driven artificial intelligence for environmental interaction,"Over the past few decades, artificial intelligence (AI) technology has rapidly developed from systems capable of performing simple automated tasks to complex intelligent robots that are reshaping industry and daily life. However, while AI has demonstrated remarkable capabilities in processing vast amounts of data and executing predefined tasks, the essence of true intelligence lies in its ability to interact deeply with dynamic environments and make adaptive decisions in real time. AI systems must transcend their current limitations and evolve into entities that can autonomously perceive, learn, and adapt to their surroundings without relying on human intervention. A notable challenge in achieving this goal is the fundamental contradiction between the discrete symbolic processing methods employed by traditional AI systems and the continuous nature of the physical world. Real-world environments are inherently continuous, with phenomena such as motion, aging, and light variations that unfold seamlessly over time. In contrast, AI systems often rely on discrete representations, such as pixelated images or labeled data points, which inherently fail to capture the subtle, cumulative effects of continuous changes. The disconnect between discrete processing and continuous reality underscores the need for AI systems to develop new paradigms that enable continuous environmental modeling and real-time adaptation. Another critical limitation is in the constrained feature spaces of traditional AI systems, which makes it difficult to handle the infinite possibilities of open environments. Dynamic environments are characterized by an ever-expanding state space in which parameters such as object shapes, lighting conditions, and interactions between entities combine in countless unforeseen ways. Current AI systems, constrained by their predefined feature dimensions, struggle to adapt to novel scenarios outside of their training data. To address this limitation, AI systems must develop elastic cognitive frameworks that can dynamically expand their feature spaces, thereby enabling them to adaptively process unforeseen information. Furthermore, the static deployment model of traditional AI systems poses a barrier to achieving true intelligence. Most AI systems are trained offline and deployed with fixed algorithms, which limit their ability to learn and adapt in real time as they interact with their environments. Intelligent entities must be capable of continuous learning and evolution, updating their knowledge, and decision-making processes based on new experiences. This requires overturning existing static learning paradigms, enabling AI systems to continuously refine their models and adapt to changing circumstances. The future of AI lies in its ability to deeply interact with and adapt to complex and dynamic environments. By addressing the limitations of discrete processing, fixed feature spaces, and static deployment models, and by leveraging advancements in electronic materials, we can pave the way for truly intelligent systems that operate autonomously and evolve alongside their environments. In this paper, we provide a brief overview of the interaction technologies between AI and the environment, discussing current advancements and exploring future innovations and applications of AI in environmental interactions, as well as the challenges from the perspective of electronic materials. It aims to inspire further research and innovation in this transformative field, ultimately unlocking the full potential of AI.","['artificial intelligence ', ' environmental interaction ', ' hardware adaptation ', ' neural networks ', ' neuromorphic devices']",0.0
241,"MADM-Q, an efficient multi-attribute decision-making support system for offshore decommissioning","With decades of development, some offshore facilities are reaching their design lives and need to be decommissioned. However, due to the limitation of regulations, technologies, and other aspects, which decommissioning options should be chosen is a challenging task. This paper introduces a multi-attribute quantitative evaluation system called MADM-Q (Multi-Attribute Decision Making-Quantitative), which can show decision makers with decommissioning options’ cost, risk, and environmental impact assessment results. The system consists of an input, output, and three processing modules. The Engineering Cost Evaluation System (ECES) is the first bottom-up approach cost assessment model in offshore facility decommissioning research. The Hierarchical Analyst Domino Evaluation System (HADES) acts as the risk assessment module, considering Domino Effect Accidents (DEAs) and providing accurate and rapid quantitative risk assessment results. The third sub-model, Composite Impact Evaluation System (CIES) assesses the environmental and socioeconomic impacts of the project. The system can obtain the basic cost range and the Individual Risk Per Annum (IRPA) value of the project quickly by using some simple inputs. The results of ECES and HADES reflects excellent accuracy - 12% cost evaluation average deviation and 1.43E-04 IRPA evaluation bias. Although currently, the HADES is a quasi-dynamic risk assessment method, it would be easy to develop it into a real-time dynamic risk monitoring and assessment system by combining advanced technologies such as digital twin technology and sensor technology.","['CIES ', ' ECES ', ' HADES ', ' MCDA ', ' Modular designing ', ' Offshore decommissioning']",1.0
242,Advancing microplastic analysis in the era of artificial intelligence: From current applications to the promise of generative AI,"The proliferation of microplastics (MPs) in aquatic and terrestrial environments poses significant threats to ecosystems and human health. Over the past 20 years, significant efforts have been dedicated to understanding the distribution, sources, and impacts of MPs. However, traditional methods for the detection and analysis of MPs rely on labor-intensive and time-consuming techniques, often lacking the needed precision. Recently, artificial intelligence (AI) has emerged as a transformative tool in environmental science, offering innovative solutions to enhance the efficiency and accuracy of MP analysis. Despite significant scientific advancements, there is a lack of critical review that consolidates the key applications of AI in MP analysis, synthesizes knowledge gained, and navigates for future research directions. This review is the first to thoroughly explore the exciting role of AI across the entire life cycle of MP analysis—from collection to characterization, dynamic modeling, impact assessment, and management of MP pollution. Specifically, AI-driven autonomous drones and robotics have emerged as promising solutions to revolutionize MP collection practices. Computer vision systems provide robust solutions for the identification and quantification of MPs in diverse environmental matrices. Additionally, data-driven modeling using machine-learning and deep-learning techniques facilitates accurate evaluation of MP pollution levels and their impacts, facilitating the design of effective management strategies. Despite these advancements, several knowledge gaps remain, including data scarcity and quality issues; the readiness of the AI models; and model interpretability, transparency, and reproducibility issues. Addressing these gaps requires the development of standardized protocols for improved data infrastructure, the adoption of more advanced and groundbreaking AI tools (such as generative AI), and the encouraging of multidisciplinary collaborations. Through these efforts, AI has the potential to revolutionize MP research, leading to a more comprehensive and effective response to MP pollution.","['artificial intelligence ', ' deep learning ', ' generative AI ', ' machine learning ', ' microplastics']",1.0
243,Artificial intelligence and machine learning in environmental impact prediction for soil pollution management – case for EIA process,"Scientific predictions are a key component of Environmental Impact Assessments (EIA), which can indicate the level of change within an environmental sphere (e.g., soil). As part of the EIA process, decision-making in mitigating complex environmental problems such as maintaining soil quality can be challenging, especially in data-sparse locations. Artificial Intelligence (AI) can ameliorate but the literature suggests that the deployment of Machine Learning (ML) techniques in soil research is concentrated mostly in developed countries. The potential of ML in managing soil pollution from complex mixture of heavy metals, petroleum hydrocarbons, and physicochemical factors is rarely explored. To address this research gap, we built robust models that increase the accuracy of impact prediction based on new experimental soil data from a data-sparse region of Africa (i.e., Nigeria). The algorithms applied are artificial neural networks (ANN), support vector regression (SVR), regression tree (RT), and random forest (RF). The study also implemented a multivariate linear regression (MLR) model as a baseline. Key findings include (a) the MLR model performed less than the machine learning models largely due to the nonlinearity of data; (b) Log-normalization helped to improve the predictive capability of all models as the effects of statistical variability were removed; (c) the RF model had the best performance in terms of correlation coefficient, mean absolute error, and root mean square error, and (d) the machine learning models showed improved performance with increased correlation and lower error between the actual and predicted soil electrical conductivity values. Our results imply that data sparsity may no longer be an excuse for the non-use of quantitative impact prediction in Environmental Impact Assessment (EIA) processes. This could change how EIAs are conducted and enhance sustainability in natural resource exploitation, globally. Future work will apply algorithms for automated feature selection to obtain optimal subset of soil quality measurements that will further improve the accuracy of the models.","['Artificial Intelligence ', ' Environmental Data Science ', ' Environmental Impact Assessment ', ' Machine Learning ', ' Multivariate Linear Regression ', ' Soil Quality ', ' Sustainability']",1.0
244,Applicability and Trend of the Artificial Intelligence (AI) on Bioenergy Research between 1991–2021: A Bibliometric Analysis,"The bibliometric analysis investigated the impact of publications on trends in the literature and bioenergy research using artificial intelligence (AI) from 1991 to 2021. In this study, 1721 publications were extracted from the Web of Science, and an analysis of the countries, authorship, institutions, journals, and keywords was visualised. In the recent decades, this field has entered an outbreak phase. India was the most productive country in this area, followed by China, Iran, and the US. It also noted several notable differences between trends and subjects in developed and developing countries. The former led this field at the initial stage and later attached importance to using AI for research feedstock and impact assessment. Developing countries encouraged the advancement of this area and emphasised the feedstock usage of phase treatment and process optimisation. In addition, a co-authorship and institutes study revealed that authors and institutes in distant regions rarely collaborated. The journal analysis shows strong links between Energy, Fuel, and Energy Conversion and Management. Machine learning is by far the most common application of artificial intelligence (AI) technology in bioenergy research, with 53% of the articles using it. In these AI-related publications, the keyword artificial neural network (ANN) appeared most frequently in the articles.","['ANN ', ' artificial intelligence ', ' bibliometric analysis ', ' bioenergy ', ' web of science']",0.0
245,Artificial intelligence in marine ecosystem management: addressing climate threats to Kenya’s blue economy,"This study investigates the application of Artificial Intelligence (AI) in monitoring and managing marine ecosystems to address the impacts of climate change on Kenya’s Blue Economy. It aims to assess the threats posed by climate change to these ecosystems and explore the potential of AI solutions to enhance adaptation and resilience. The research employs a comprehensive review of secondary data sources, including academic publications, reports from reputable institutions, and other relevant materials. The study analyzes existing literature on AI applications in marine ecosystem management and climate change mitigation, focusing on the specific context of Kenya’s Blue Economy. The study reveals that climate change poses significant threats to Kenya’s marine ecosystems, including coral bleaching, ocean acidification, sea-level rise, and disruptions to ocean currents. AI technologies offer promising solutions for monitoring and managing these impacts, with applications in predictive modeling, resource optimization, and decision support. The research highlights the need for further exploration into specific AI applications tailored to Kenya’s unique coastal challenges and the importance of incorporating diverse stakeholder perspectives. Additionally, it emphasizes the necessity for long-term impact assessments of AI technologies in the context of climate change mitigation. This study contributes to the growing body of knowledge on AI applications in environmental management, particularly within the context of Kenya’s Blue Economy. By identifying the potential of AI to enhance resilience and sustainability in marine ecosystems, the research offers valuable insights for policymakers, researchers, and practitioners involved in climate change mitigation and adaptation efforts.","['artificial intelligence ', ' blue economy ', ' climate change ', ' ecosystem management ', ' Kenya']",1.0
246,Digital Innovations for Good: A Bibliometric Study of Social Entrepreneurship Digitalization,"As social enterprises seek out new tools to broaden the scope of their activities, digitisation is emerging as an important topic of interest to practitioners and researchers alike. Despite this interest, a gap persists in terms of bibliometric reviews concerning this research topic. This article aims to fill this gap by conducting a bibliometric review of the literature via semantic analysis, keyword-occurrences and co-authorship networks analysis in order to identify the research dynamics, the most cited articles and journals and the collaboration networks in the research field studied. The results show a remarkable increase in the number of articles published between 2011 and 2023, with the United States ranking first among the countries with the highest number of contributions. Thus, emerging markets case studies represents the most productive journal in terms of publications. Research trends include are digital platforms, e.g., crowdfunding; sustainable business models; and managerial resilience in times of crisis. This research will enable researchers and stakeholders in the social entrepreneurship ecosystem to better understand the dynamics of research on the subject of the digitalisation of social entrepreneurship. Future research should further study aspects of inclusive entrepreneurship; social impact assessment of digital initiatives and ethical considerations regarding the use of technological innovation, e.g., Artificial intelligence in social entrepreneurship.","['Bibliometric Mapping ', ' Digitalization ', ' Social Entrepreneurship']",0.0
247,Rethinking Non-discrimination Law in the Age of Artificial Intelligence,"Irrespective of artificial intelligence (“AI”) developments of our age, discrimination always found a way to influence our communities directly or indirectly. On the other hand, discrimination of individuals is prohibited as a reflection of the principle of equality, in the constitutions of contemporary societies and in international laws regulating the fundamental rights of the individual. Within the framework of the mechanisms improved depending upon this principle and constitutional basis, a legal struggle is waged against discrimination of individuals as a person or as part of a community. However, discrimination has reached a different dimension in the digital environment with the developing technologies, especially AI systems. Such systems bring new problems and the anti-discrimination rules and mechanisms generated for the physical world cannot completely find a solution. The discrimination of AI systems could arise from reasons such as biased data sets and AI models, insufficient training data, and human-induced prejudices. At the same time, due to the black box problem in AI systems, the fact that it is not always clear which inputs lead to which result, and which inputs are another problem in the detection of discriminatory results. On the other side, problems caused by different applications such as credit scoring, exam grade determination, face recognition, and predictive policing, in which individuals face explicitly discrimination due to AI systems, are also emerging more and more. However, individuals do not always know that they deal with an AI system, and they may or may not be subject to discrimination. For instance, it has been revealed that the algorithm used in visa applications in the UK ranks the applications as red, green, and yellow, yet classifies a certain group as persons with suspicious nationality, and applications made by persons from this nationality receive higher risk scores and are more likely to be rejected. Even though the use of AI systems in our socio-economic life has reached an indispensable point, the prevention of discriminatory results caused by these systems also triggers the obligations of states in the context of fundamental rights. In this regard, the state has an obligation not to use discriminatory AI systems within the scope of its negative obligation; again, it has the obligation to ensure that private institutions or individuals cannot violate a fundamental right against other individuals in a way that is contrary to non-discrimination, within the scope of the positive obligation of the state. Furthermore, as in the process of protecting each fundamental right, the state will have an obligation to ensure that AI systems do not cause discrimination, and in case of discrimination, to eliminate the elements that cause it. In parallel with the development of AI technologies, it may be necessary to reinterpret existing rules and mechanisms or to establish new rules and mechanisms. In this sense, as in the draft Artificial Intelligence Act (“AIA”), having regard to the fact that AI has become a unique sector and its spheres of influence, organizing an institution specific to AI, and establishing an audit mechanism for developing and placing AI on the market, could be considered as an effective way to prevent and eliminate discrimination. In this regard, this Article aims to open a discussion about implementing newly emerging solutions to the Turkish legal framework, such as introducing a pre-audit mechanism as “AI—human rights impact assessment”, establishing AI audit mechanisms, and notification to individuals that they are subject to discrimination.","['Artificial intelligence ', ' Audit mechanisms ', ' Human rights ', ' Non-discrimination']",0.0
248,Temporal evolution and thematic shifts in sustainable construction and demolition waste management through building information modeling technologies: A text-mining analysis,"Construction and demolition activities are significant contributors to waste generation worldwide. As population growth accelerates worldwide, the amount of construction and demolition waste (C&DW) will increase proportionally unless proactive measures are implemented. This study analyzes the evolving research landscape on utilizing Building Information Modeling (BIM) technologies to advance sustainable C&DW management practices. A comprehensive text-mining analysis is conducted on 493 scholarly publications covering evolutions from January 2009 to February 2024 using the PRISMA framework. The research objectives are: (i) to identify key themes in domain of BIM technology in C&DW management using VOSviewer, (ii) to map the temporal evolution of research focus using SciMAT, and (iii) to identify emerging thematic trends.Co-occurrence analysis reveals three major research themes: (i) the use of digital twins and prefabrication for waste reduction, (ii) integrating environmental impact assessments, and (iii) data-driven decision-making. Strategic diagrams produced by SciMAT software uncover shifting priorities over the study period, with “reuse and recycling” emerging as motor themes, and “Prefabrication” (CIT = 481), “Decision Making” (CIT = 66), “Material Passport” (CIT = 92), and “Digital Twin” (CIT = 44) emerging as high-centrality and transversal themes. Temporal evolution mapping unveiled progressive integration of BIM tools such as (i) digital twins (TLS = 34, OCC = 9) and (ii) prefabrication (TLS = 40, OCC = 14), presenting opportunities to optimize waste reduction. This study offers a robust overview of the field, aiming to inform a diverse audience, including researchers from various disciplines, policymakers and industry professionals interested in advancing sustainable practices in C&DW management through innovative digital solutions.","['Building information modeling (BIM) ', ' Construction and demolition waste ', ' Digital twin ', ' Prefabrication ', ' Text-mining analysis ', ' Thematic shifts']",1.0
249,Well-being impact assessment of artificial intelligence – A search for causality and proposal for an open platform for well-being impact assessment of AI systems,"In recent years, the well-being impact assessment approach has been applied in the area of Artificial Intelligence (AI). Existing well-being frameworks and tools provide a relevant starting point. Taking into account its multidimensional nature, well-being assessment is well suited to assess both the expected positive effects of the technology as well as unintended negative consequences. To-date the establishment of causal links mostly stems from intuitive causal models. Such approaches neglect the fact that to prove causal links between the operation of an AI system and observed effects is difficult due to the immense complexity of the socio-technical context. This article aims at providing a framework for ascertaining the attribution of effects of observed impact of AI on well-being. An elaborated approach to impact assessment potentially enabling causal inferences is demonstrated. Furthermore, a new Open Platform for Well-Being Impact Assessment of AI systems (OPIA) is introduced, which is based on a distributed community to build reproducible evidence through effective identification, refinement, iterative testing, and cross-validation of expected causal structures.","['Artificial intelligence ', ' Causality ', ' Complexity ', ' Impact assessment ', ' Open science ', ' Well-being']",0.0
250,Lightweight Model Using Graph Neural Networks for Air Quality Impact Assessment on Human Health,"Current air monitoring stations can only tell us the purity or pollution of the air through the Air Quality Index (AQI). Using the Air Quality Index is not enough when we need to monitor the air environment in areas such as factories, industrial parks, and space areas where many people are working. In this article, we propose a lightweight deep learning model to assess the impact of air quality on human health using the following layers: i) The Timestamp Graph Message Passing layer for graph-based data aggregation affecting prediction results; ii) The Timestamp Graph Convolution layer for graph-based feature expansion affecting prediction results; iii) The Temporal Graph Message Passing layer, which is used to aggregate data based on time series graphs; iv) The Temporal Graph Convolution layer for feature extraction based on time series graphs; v) The Simple Artificial Neural Network for graph classification based on data of nodes. The input is four time series containing data on CO, NO2, O3, and PM 2.5 concentrations in the air. The output of the model is one of the following cases: Fresh, Polluted, Headaches, Pneumonia, Convulsions or Nausea, or Death. The results show that our model can be used for early warning of adverse human health impacts due to air pollution, which has achieved an accuracy of up to 98.15% for the samples in the training set and 91.86% when performing the evaluation with the samples in the test set.","['Air Quality Index ', ' Deep Learning ', ' Edge computing ', ' GCN ', ' GGNN ', ' GNN ', ' IoT ', ' TensorFlow Lite ', ' Time series data']",1.0
251,IARA: An Underwater Acoustic Database,"Recent advancements in artificial intelligence have been driven by the availability of diverse and well-structured public databases; however public databases for passive sonar classification remain scarce. To address this gap, this paper presents a new public underwater acoustic labeled database collected during the Santos Basin Soundscape Monitoring Project carried out by PETROBRAS in compliance with conditions required by the federal environmental licensing process conducted by IBAMA. This database expands public resources, containing 129 h 34 min of audio across 1825 recordings (approximately 50 GB). In contrast, existing public databases include ShipsEar (3 h 9 min, 90 recordings) and DeepShip (47 h 4 min, 613 recordings). The dataset provides several hours of general-purpose recordings; however, in this work, only classification was explored, as this is a typical use of such databases in the literature. Baselines were established using Random Forest, MLP, and CNN classification models, with the MLP achieving the best performance: a balanced accuracy of 67.48 ± 1.24% and an F1-score of 66.72 ± 1.17%, evaluated using 5 × 2 cross-validation. The primary contribution of this work is the introduction of the database and its associated baselines for underwater acoustic target recognition tasks, with the aim of providing a valuable resource for the research community. The study also emphasizes the importance of proper data selection, including the use of exclusion regions to enhance signal confidence. Generalization experiments highlight the critical role of dataset diversity, demonstrating that models often struggle to generalize to other datasets. These findings underscore the necessity of diverse, well-structured databases to improve model robustness across varied acoustics scenarios.","['IARA ', ' ship noise dataset ', ' underwater acoustic dataset ', ' underwater acoustic target recognition']",1.0
252,"Proceedings - 2016 International Conference on Computational Science and Computational Intelligence, CSCI 2016",The proceedings contain 275 papers. The topics discussed include: monitoring patient activity during chemotherapy with wearable fitness devices; health IT maturity and hospital quality: effects of PACS automation and integration levels on U.S. hospital performance; integrating dental working experience in development of a dental clinic database system for a general tertiary hospital; the steps of user-centered design in health information technology development: recommendations from a PHD research study; characteristics of inpatient fever: a case in teaching hospital; IS budgeting for healthcare innovations: insights for developing countries; improving the accuracy of Bluetooth low energy indoor positioning system using Kalman filtering; a collaborative privacy-preserving deep learning system in distributed mobile environment; IoT technologies to enhance precision and response time of mobile-based educational assessments; an overview of emerging privacy issues in the Internet of Things; gamification to engage and motivate students to achieve computer science learning goals; an innovative proposal for young students to learn computer science and technology through Pokemon Go; let there be hope: assessing the implications of exam re-taking on student learning outcomes and grades of engineering students grounded on metacognition awareness framework; and empirical confirmation of pair programming effectiveness in the teaching of computer programming.,,0.0
253,Deep learning-based aerial image segmentation with open data for disaster impact assessment,"Satellite images are an extremely valuable resource in the aftermath of natural disasters such as hurricanes and tsunamis where they can be used for risk assessment and disaster management. In order to provide timely and actionable information for disaster response, a framework utilising segmentation neural networks is proposed to identify impacted areas and accessible roads in post-disaster scenarios. The effectiveness of pretraining with ImageNet -for the task of aerial image segmentation has been analysed and performances of popular segmentation models compared. Experimental results show that pretraining on ImageNet usually improves the segmentation performance for a number of models. Open data available from OpenStreetMap (OSM) is used for training, forgoing the need for time-consuming manual annotation. The method also makes use of graph theory to update road network data available from OSM and to detect the changes caused by a natural disaster. Extensive experiments on data from the 2018 tsunami that struck Palu, Indonesia show the effectiveness of the proposed framework. ENetSeparable, with 30% fewer parameters compared to ENet, achieved comparable segmentation results to that of the state-of-the-art networks.","['Aerial images ', ' Convolutional neural networks ', ' Disaster response ', ' Graph theory ', ' Semantic segmentation']",0.0
254,AI Alignment of Disaster Resilience Management Support Systems,"This paper presents an application of Artificial Intelligence (AI) prospective studies to determine the most suitable AI technologies for implementation in Disaster Resilience Management Support Systems (DRMSSs). The pivotal role in our approach is played by the security needs analysis in the context of most common natural disasters and their co-occurrence with other threats. The AI trends and scenarios to align with are derived according to foresight principles. We apply expert knowledge elicitation and fusion techniques as well as a control model of technology dynamics. The pre-assessments of security needs and technological evolution prospects are combined to rank and select the most prospective AI methods and tools. Long-term ex-ante impact assessment of future disaster resilience improvements resulting from different DRMSS implementations, allows for the identification of the most suitable AI deployment variant. The target market of the DRMSSs under study includes industrial corporations and urban critical infrastructures, to become part of their Industry 4.0 ecosystems. The models of protected area and its environment are continually updated with visual monitoring and other sensors embedded in the Industrial Internet-of-Things infrastructure. The software architecture of DRMSS focuses on model-based decision support that applies fuzzy-stochastic uncertainty and multicriteria optimization. The business processes behind the AI alignment follow these goals. In the conclusion, we will show that DRMSS allows stakeholders to reach social, technological, and economic objectives simultaneously.","['AI alignment ', ' Decision Support Systems ', ' Disasters resilience management ', ' Security process modelling ', ' Technological evolution']",1.0
255,Environmental management using a digital twin,"Robust environmental management is based on evidence of ecosystem health and anthropogenic harms gleaned from successful environmental monitoring. Successful monitoring involves the synthesis of observations from a variety of sources to represent a site in its current and past states, the anticipation of future conditions, and communicate the findings to decision-makers for environmental management and other stakeholders; a lack of such synthesis and communication has been identified as a shortcoming in Environmental Impact Assessment. However, a suitable digital platform for this synthesis and communication has not yet been developed. Digital twins, an approach from engineering, may offer a solution with advantages over other approaches traditionally employed in ecosystem monitoring. Here a process and considerations for conducting the use case analysis of a digital twin for environmental monitoring is presented, including identifying users, establishing their requirements, refining use cases based on data practicalities, planning analyses and data/model integrations, and developing the user interface. The process is demonstrated using a case study, developing use cases for an ecological digital twin of a UK Marine Protected Area, which could be generalised as use cases for a digital twin for ecosystem monitoring of a conservation area. Considerations for constructing a digital twin based on these use cases are discussed, including the practicalities of using remotely-sensed biological data; gaps in the scientific, technological and data management capabilities; the role of expertise in adding value beyond simple data collation data; and federation of digital twins. Finally, challenges and benefits to using a digital twin approach to informing conservation management are summarised.","['Big data ', ' Biodiversity ', ' Conservation ', ' Environmental impact assessment ', ' Evidence-based ', ' Protected areas']",1.0
256,Transforming the Operational Components of Marketing Processes with GenAI: A Paradigm Shift,"Generative Artificial Intelligence (GenAI) is transforming marketing through advanced content creation, personalized customer interactions, and strategic optimization. This study explores GenAI’s impact on marketing processes, current applications, and related ethical and strategic challenges. A meta-analysis of the existing literature was conducted, focusing on GenAI integration in marketing. Relevant research was collected from various databases and rigorously evaluated, with case studies illustrating practical applications and benefits. The findings show that GenAI enhances marketing efficiency by automating content creation, improving customer service, and optimizing strategies using specialized AI tools. However, GenAI’s use is currently fragmented, focusing more on operational than strategic tasks. This study underscores the necessity for a comprehensive and integrated approach to fully leverage the potential of GenAI in marketing processes, with the intention of effecting a paradigm shift, particularly in operational marketing tasks. Future research should focus on developing integrated GenAI solutions that comprehensively address all facets of the marketing process, including strategic decision-making, ethical and regulatory considerations, and long-term impact assessment, while exploring innovative applications and optimizing existing technologies to fully harness GenAI’s potential in driving a holistic digital transformation of marketing.","['AI-Marketing ', ' Artificial intelligence ', ' ChatGPT ', ' Digital transformation ', ' Generative artificial intelligence ', ' Large language models ', ' Marketing process']",0.0
257,Quantum Computing Integration: Cutting-Edge and Quantum Computing for Building a Smart and Sustainable Environment,"The integration of cutting-edge/emerging technologies, like artificial intelligence (AI), blockchain, Internet of Things (IoT), cloud computing, and quantum computing, provides a transformative approach to addressing the pressing challenges of achieving a smart and sustainable environment. In this work, we discuss the synergistic potential of these technologies to revolutionize environmental management and sustainability efforts (or to achieve maximum impact). It discusses use cases in smart cities, ecosystem conservation, and climate change mitigation to illustrate the real-world applications of this integrated approach. This chapter begins by highlighting the growing importance of creating a sustainable environment in the face of increasing global challenges, such as climate change, resource depletion, and urbanization. It emphasizes the need for innovative and effective solutions to address these issues. This work also discusses the role of each technology within this integration, for example, AI is used to enable predictive environmental modeling and optimize resource management. Blockchain technology ensures transparent and secure data management, particularly in areas like supply chain tracking and carbon trading. IoT facilitates real-time data collection and monitoring for adaptive environmental solutions. Cloud computing provides the scalability and data management capabilities required for large-scale projects. Finally, quantum computing introduces powerful optimization tools and secure data handling in environmental applications.",,0.0
258,AI-driven optimization of optical imaging and lighting modeling: A framework for landscape visual impact assessment in smart cities,"Landscape Visual Impact Assessment (LVIA) plays a critical role in ensuring that urban and landscape developments align aesthetically and ecologically with their surroundings, particularly in the context of smart cities. Traditional LVIA methods often rely on manual inputs and deterministic algorithms, which are inefficient and prone to errors in large-scale or complex environments. This study proposes an AI-driven framework that integrates advanced computational techniques with SketchUp and V-Ray to address these limitations. The framework leverages artificial intelligence (AI) for terrain analysis, vegetation placement, and optical imaging and lighting modeling, significantly enhancing the accuracy, efficiency, and realism of the LVIA process. Key innovations include the use of convolutional neural networks (CNNs) for precise terrain modeling, clustering algorithms for ecologically valid vegetation distribution, and generative adversarial networks (GANs) for photorealistic rendering with optimized lighting effects. The proposed methodology is validated through a coastal landscape case study, demonstrating a 27% reduction in rendering time and a substantial improvement in elevation accuracy compared to traditional methods. The results also highlight that the AI-driven approach achieves a 92% match with real-world vegetation patterns and significantly improves optical lighting accuracy, ensuring visually harmonious and ecologically sustainable outcomes. By automating resource-intensive tasks and enabling scalability, this framework provides a robust solution for modern urban planning projects, advancing LVIA methodologies to support sustainable, adaptive, and visually compelling smart city landscapes.","['artificial intelligence ', ' environmental modeling ', ' landscape visual impact assessment ', ' lighting modeling ', ' Optical imaging ', ' smart cities']",1.0
259,Machine Learning Approach for Predicting Environmental Impact: A Neuro-Fuzzy Model for Life Cycle Impact Assessment of Strawberry Production,"Artificial Intelligence (AI) is transforming traditional methods reliant on human knowledge by introducing machine learning techniques, which offer effective solutions to complex challenges. An example of such a case is the evaluation of the environmental impacts of products throughout their life cycle. This study bridges the gap in life cycle assessment (LCA) by leveraging AI to predict environmental impacts in agriculture, specifically by using LCA data from one cultivation system to model another. We employed Adaptive Neuro-Fuzzy Inference Systems (ANFIS) to predict CO2 equivalent emissions for open-field strawberry production, utilizing greenhouse strawberry data. The novelty lies in combining machine learning with LCA to address data scarcity and improve predictive accuracy in agricultural impact assessments. The model was trained with data generated in MATLAB and validated against emissions computed using the Ecoinvent 3.10 database and SimaPro software. Among the three fuzzy inference system (FIS) generation approaches-Fuzzy C-Means (FCM), Subtractive Clustering (SC), and Grid Partitioning (GP) FCM exhibited the highest the accuracy. This methodology showcases AI's potential to transform LCA, enabling more efficient, data-driven sustainability assessments.","['ANFIS ', ' artificial intelligence ', ' carbon footprint ', ' global warming potential ', ' sustainability']",1.0
260,AssessAR: An augmented reality based environmental impact assessment framework,"Human activities can have a lasting impact on the environment and society. Environmental impact assessment (EIA) which focusses on evaluating the impact of proposed developmental projects on the environment, helps in transparent decision-making and involves multiple stakeholders. However, EIA is data and effort-intensive and often becomes complex and long-drawn. Moreover, EIA is currently performed using primarily two-dimensional traditional mediums which could be vastly restrictive and difficult to navigate and comprehend. Here, we present an immersive approach which can create 3D interactive elements, modelling the real-world using augmented/mixed reality. Because of the inherent benefits of using three-dimensional representations and associated real-world interactions, we posit that our approach will facilitate better and faster, collaboration-enabled analysis of a developmental project proposal, thereon reducing processing time and promoting high fidelity.","['Augmented Reality ', ' Environmental Impact Assessment']",1.0
